parent_company,sector,total_scope1_emissions_mtco2e,facility_count
RIVERVIEW INVESTMENT HOLDING LLC,Utilities,136726.0,2
OPC POWER VENTURES LP,Utilities,134778.1,1
MRP Elgin LLC,Utilities,134561.0,1
TENASKA GEORGIA PARTNERS LP,Utilities,132931.0,1
Adams-Columbia Electric Cooperative,Utilities,129055.32,1
DAVIS MINING & MANUFACTURING INC,Chemicals/Materials,125932.0,1
CONTRAN CORP,Chemicals/Materials,125763.0,1
VENATOR MATERIALS LLC,Chemicals/Materials,125763.0,1
AMERICAN REFINING GROUP INC,Energy,122544.0,1
American Chrome & Chemicals,Chemicals/Materials,120283.0,1
ARUBA INVESTMENTS INC,Chemicals/Materials,117619.0,1
